RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,HpPlusM,Ph,Yvalue
-82.904,-82.901,-82.865,-82.843,-82.784,0.11999999999999034,0.9985525426999905,-82.904,-82.871,-82.805,-82.75300000000001,0.9981786162308214
-82.879,-82.941,-82.858,-82.962,-82.902,-0.022999999999996135,1.0002775130008807,-82.879,-82.94675000000001,-82.8695,-82.97925000000001,1.001209594710361
-82.845,-82.869,-82.935,-82.774,-82.88,-0.03499999999999659,1.0004224757076468,-82.845,-82.87774999999999,-82.9525,-82.80025,0.9994598346309373
-82.94,-82.882,-82.93,-82.789,-82.894,0.04599999999999227,0.999445382204003,-82.94,-82.8705,-82.90700000000001,-82.75450000000001,0.9977634434530988
-82.888,-82.873,-82.864,-82.839,-82.835,0.05300000000001148,0.999360582955313,-82.888,-82.85975,-82.8375,-82.79924999999999,0.9989292780619629
-82.894,-82.849,-82.831,-82.789,-82.837,0.05700000000000216,0.9993123748401573,-82.894,-82.83475,-82.80250000000001,-82.74625,0.9982176032040919
-82.89,-82.89,-82.797,-82.855,-82.842,0.04800000000000182,0.9994209192906262,-82.89,-82.878,-82.773,-82.819,0.9991434431173845
-82.816,-82.747,-82.919,-82.821,-82.919,-0.10299999999999443,1.0012437210200926,-82.816,-82.77275,-82.97049999999999,-82.89824999999999,1.00099316557187
-82.794,-82.657,-82.801,-82.832,-82.798,-0.0040000000000048885,1.0000483126796629,-82.794,-82.658,-82.803,-82.835,1.0004952049665434
-82.977,-82.844,-82.78,-82.957,-82.755,0.2220000000000084,0.9973245598177807,-82.977,-82.7885,-82.669,-82.79049999999998,0.9977523892162886
-82.86,-82.9,-82.939,-82.83,-82.834,0.02599999999999625,0.9996862177166305,-82.86,-82.8935,-82.92599999999999,-82.8105,0.9994026068066619
-82.823,-82.901,-82.85,-82.803,-82.794,0.028999999999996362,0.9996498557164073,-82.823,-82.89375,-82.8355,-82.78125,0.9994959129710347
-82.874,-82.979,-82.818,-82.911,-82.896,-0.02200000000000557,1.0002654632333423,-82.874,-82.9845,-82.82900000000001,-82.92750000000001,1.0006455583174458
-82.816,-82.982,-82.896,-82.857,-82.882,-0.0660000000000025,1.0007969474497682,-82.816,-82.9985,-82.929,-82.9065,1.001092784003091
-82.811,-82.902,-82.832,-82.825,-82.847,-0.03599999999998715,1.0004347248553935,-82.811,-82.911,-82.85,-82.85199999999999,1.0004951033075313
-82.826,-82.856,-82.886,-82.858,-82.825,0.000999999999990564,0.9999879264965109,-82.826,-82.85575,-82.88550000000001,-82.85725000000001,1.000377296984039
-82.881,-82.786,-82.862,-82.817,-82.794,0.0870000000000033,0.9989503022405617,-82.881,-82.76425,-82.8185,-82.75174999999999,0.9984405352252023
-82.916,-82.878,-82.858,-82.858,-82.816,0.09999999999999432,0.9987939601524435,-82.916,-82.85300000000001,-82.808,-82.78300000000002,0.99839596700275
-82.799,-82.825,-82.882,-82.868,-82.859,-0.05999999999998806,1.0007246464329278,-82.799,-82.84,-82.912,-82.91299999999998,1.0013768282225628
-82.824,-82.783,-82.877,-82.792,-82.737,0.0870000000000033,0.9989495798319328,-82.824,-82.76125,-82.83349999999999,-82.72675,0.9988258234328213
-82.949,-82.838,-82.719,-82.917,-82.766,0.18299999999999272,0.9977938251214603,-82.949,-82.79225,-82.6275,-82.77975,0.9979595896273615
-82.839,-82.808,-82.768,-82.813,-82.925,-0.08599999999999852,1.001038158355364,-82.839,-82.82950000000001,-82.811,-82.8775,1.000464756938157
-82.882,-82.73,-82.799,-82.786,-82.841,0.04100000000001103,0.9995053208175477,-82.882,-82.71975,-82.77850000000001,-82.75524999999999,0.9984707174054678
-82.831,-82.842,-82.813,-82.864,-82.836,-0.0049999999999954525,1.000060363873429,-82.831,-82.84325,-82.8155,-82.86775,1.0004436744697034
-82.719,-82.806,-82.865,-82.836,-82.847,-0.1280000000000001,1.0015474074880015,-82.719,-82.838,-82.929,-82.932,1.0025749827730026
-82.834,-82.919,-82.787,-82.826,-82.784,0.04999999999999716,0.9993963831277012,-82.834,-82.9065,-82.762,-82.7885,0.999450708646208
-82.833,-82.932,-82.762,-82.981,-82.856,-0.022999999999996135,1.0002776671133484,-82.833,-82.93775,-82.7735,-82.99824999999998,1.0019949778469932
-82.828,-82.754,-82.87,-82.882,-82.865,-0.03699999999999193,1.0004467088424203,-82.828,-82.76325,-82.8885,-82.90975,1.00098698507751
-82.94,-82.755,-82.832,-82.831,-82.875,0.06499999999999773,0.9992163009404389,-82.94,-82.73875,-82.7995,-82.78225,0.9980980226669882
-82.778,-82.916,-82.851,-82.916,-82.997,-0.2189999999999941,1.0026456304815288,-82.778,-82.97075,-82.9605,-83.08024999999999,1.003651332479644
-82.77,-82.831,-82.876,-82.865,-82.889,-0.11899999999999977,1.001437718980307,-82.77,-82.86075,-82.9355,-82.95425,1.002226048085055
-82.86,-82.893,-82.845,-82.916,-82.864,-0.0040000000000048885,1.0000482741974415,-82.86,-82.894,-82.84700000000001,-82.919,1.0007120444122617
-82.823,-82.955,-82.983,-82.873,-82.88,-0.05700000000000216,1.000688214626372,-82.823,-82.96925,-83.01150000000001,-82.91575,1.001119858010456
-82.926,-82.876,-82.766,-82.876,-82.803,0.12300000000000466,0.998516749873381,-82.926,-82.84525000000001,-82.7045,-82.78375,0.9982846151990931
-82.879,-82.927,-82.746,-82.875,-82.855,0.02400000000000091,0.9997104212164722,-82.879,-82.921,-82.734,-82.857,0.9997345527817662
-82.837,-82.742,-82.935,-82.773,-82.913,-0.0759999999999934,1.000917464418074,-82.837,-82.761,-82.973,-82.82999999999998,0.999915496698335
-82.889,-82.744,-82.866,-82.793,-82.803,0.08599999999999852,0.9989624678787294,-82.889,-82.7225,-82.82300000000001,-82.72850000000001,0.9980636755178615
-82.826,-82.935,-82.874,-82.853,-82.876,-0.05000000000001137,1.0006036751744622,-82.826,-82.9475,-82.899,-82.8905,1.0007787409750561
-82.817,-82.887,-82.935,-82.828,-82.761,0.055999999999997385,0.9993238103287972,-82.817,-82.873,-82.90700000000001,-82.786,0.9996256807177272
-82.933,-82.87,-82.87,-82.812,-82.77,0.16300000000001091,0.9980345580167121,-82.933,-82.82925,-82.7885,-82.68974999999999,0.9970669094329155
-82.832,-83.083,-82.89,-82.806,-82.949,-0.11700000000000443,1.0014124975854743,-82.832,-83.11225,-82.9485,-82.89375,1.000745484836778
-82.848,-82.91,-82.931,-82.76,-82.796,0.0519999999999925,0.9993723445345695,-82.848,-82.89699999999999,-82.905,-82.721,0.9984670722286598
-82.852,-82.893,-82.821,-82.888,-82.818,0.034000000000006025,0.9995896297011538,-82.852,-82.8845,-82.804,-82.8625,1.0001267320040554
-82.916,-82.813,-82.837,-82.943,-82.965,-0.049000000000006594,1.0005909595253029,-82.916,-82.82525000000001,-82.8615,-82.97975,1.0007688504028174
-82.952,-82.782,-82.855,-82.872,-82.971,-0.019000000000005457,1.0002290481242164,-82.952,-82.78675,-82.8645,-82.88625,0.999207372938567
-82.958,-82.926,-82.792,-82.945,-82.947,0.01099999999999568,0.9998674027821308,-82.958,-82.92325,-82.7865,-82.93674999999999,0.9997438462836615
-82.859,-82.874,-82.876,-82.789,-82.963,-0.1039999999999992,1.001255144281249,-82.859,-82.89999999999999,-82.928,-82.867,1.0000965495600962
-82.864,-82.842,-82.828,-82.835,-82.763,0.10099999999999909,0.9987811353543156,-82.864,-82.81675,-82.7775,-82.75925,0.9987358804788568
-82.822,-82.973,-82.839,-82.895,-82.821,0.0010000000000047748,0.9999879259134046,-82.822,-82.97274999999999,-82.8385,-82.89425,1.000872352756514
-82.787,-82.795,-82.916,-82.802,-82.919,-0.1319999999999908,1.0015944532354113,-82.787,-82.828,-82.982,-82.901,1.0013770277942189
-82.928,-82.884,-82.851,-82.846,-82.922,0.006000000000000227,0.9999276480802624,-82.928,-82.8825,-82.848,-82.8415,0.9989569264904495
-82.855,-83.01,-82.874,-82.923,-82.971,-0.11599999999999966,1.001400036207833,-82.855,-83.039,-82.93199999999999,-83.01,1.0018707380363285
-82.888,-82.859,-82.86,-82.873,-82.865,0.023000000000010346,0.9997225171315509,-82.888,-82.85324999999999,-82.8485,-82.85575,0.9996109207605443
-83.025,-82.878,-82.761,-82.85,-82.809,0.21600000000000819,0.9973983739837398,-83.025,-82.824,-82.65299999999999,-82.68799999999999,0.9959409816320384
-82.913,-82.907,-82.773,-82.891,-82.94,-0.027000000000001023,1.0003256425409768,-82.913,-82.91375,-82.78649999999999,-82.91125000000001,0.9999788935390109
-82.953,-82.849,-82.808,-82.925,-82.893,0.060000000000002274,0.9992766988535676,-82.953,-82.834,-82.778,-82.88,0.999119983605174
-82.895,-82.897,-82.788,-83.02,-82.836,0.0589999999999975,0.9992882562277581,-82.895,-82.88225,-82.7585,-82.97575,1.0009741238916703
-82.869,-82.87,-82.863,-82.797,-82.919,-0.04999999999999716,1.0006033619326888,-82.869,-82.88250000000001,-82.888,-82.83449999999999,0.9995836802664445
-82.992,-82.882,-82.849,-82.79,-82.837,0.15500000000000114,0.9981323501060343,-82.992,-82.84325000000001,-82.7715,-82.67375000000001,0.9961652930402931
-82.94,-82.96,-82.859,-82.917,-82.837,0.10299999999999443,0.9987581384133108,-82.94,-82.93424999999999,-82.8075,-82.83975000000001,0.9987912949119847
-82.912,-82.867,-82.891,-82.925,-82.981,-0.0689999999999884,1.000832207641837,-82.912,-82.88425000000001,-82.9255,-82.97674999999998,1.0007809484754917
-82.96,-82.851,-82.948,-82.87,-82.839,0.12099999999999511,0.9985414657666346,-82.96,-82.82075,-82.88749999999999,-82.77925,0.9978212391513984
-82.939,-82.986,-82.892,-82.92,-82.904,0.03499999999999659,0.99957800311072,-82.939,-82.97725,-82.8745,-82.89375000000001,0.999454418307431
-82.984,-82.926,-83.018,-82.907,-82.877,0.10699999999999932,0.998710594813458,-82.984,-82.89925,-82.9645,-82.82675,0.9981050563964139
-82.988,-82.91,-82.958,-82.998,-82.855,0.13299999999999557,0.9983973586542633,-82.988,-82.87675,-82.89150000000001,-82.89825,0.998918518340001
-82.951,-83.018,-82.96,-82.951,-82.918,0.03299999999998704,0.999602174777881,-82.951,-83.00975,-82.9435,-82.92625000000001,0.9997016310834109
-82.895,-82.915,-83.005,-82.873,-82.865,0.030000000000001137,0.9996380963869956,-82.895,-82.9075,-82.99,-82.85050000000001,0.999463176307377
-82.983,-82.923,-82.876,-82.947,-82.855,0.1280000000000001,0.9984575153947194,-82.983,-82.891,-82.81200000000001,-82.851,0.9984093127508044
-82.869,-82.798,-82.9,-82.848,-82.909,-0.04000000000000625,1.0004826895461512,-82.869,-82.808,-82.92000000000002,-82.878,1.000108605147884
-82.951,-82.788,-82.855,-82.843,-82.977,-0.02600000000001046,1.000313438053791,-82.951,-82.7945,-82.86800000000001,-82.86250000000001,0.9989331050861354
-82.884,-82.981,-82.803,-82.933,-82.912,-0.028000000000005798,1.0003378215337098,-82.884,-82.988,-82.81700000000001,-82.95400000000001,1.0008445538342745
-82.834,-82.89,-82.904,-82.973,-82.873,-0.03900000000000148,1.000470821160393,-82.834,-82.89975,-82.92349999999999,-83.00225,1.0020311707752856
-82.863,-82.889,-82.932,-82.867,-82.883,-0.01999999999999602,1.0002413622485307,-82.863,-82.89399999999999,-82.94200000000001,-82.882,1.0002292941361042
-82.892,-82.996,-82.898,-82.909,-83.018,-0.12600000000000477,1.001520050185784,-82.892,-83.0275,-82.961,-83.0035,1.001345123775515
-82.862,-82.96,-83.022,-82.906,-82.874,-0.012000000000000455,1.0001448190968116,-82.862,-82.963,-83.028,-82.915,1.0006396176775845
-83.055,-82.916,-82.946,-82.951,-82.863,0.19200000000000728,0.9976882788513635,-83.055,-82.868,-82.85,-82.80699999999999,0.9970140268496777
-82.88,-82.981,-82.915,-82.961,-82.924,-0.04400000000001114,1.000530888030888,-82.88,-82.99199999999999,-82.93700000000001,-82.994,1.0013754826254826
-82.877,-82.936,-83.025,-82.837,-82.924,-0.047000000000011255,1.0005671054695513,-82.877,-82.94775000000001,-83.04850000000002,-82.87225000000001,0.999942686149354
-82.89,-82.913,-82.923,-82.964,-82.87,0.01999999999999602,0.9997587163710943,-82.89,-82.908,-82.91300000000001,-82.949,1.000711786705272
-82.822,-82.947,-82.977,-82.932,-82.922,-0.09999999999999432,1.0012074086595348,-82.822,-82.97200000000001,-83.027,-83.007,1.0022337060201396
-82.918,-82.921,-83.008,-82.869,-82.904,0.014000000000010004,0.9998311584939337,-82.918,-82.9175,-83.00099999999999,-82.85849999999999,0.9992824235992184
-83.036,-82.905,-82.773,-82.949,-82.905,0.13100000000000023,0.9984223710197987,-83.036,-82.87225000000001,-82.7075,-82.85075,0.9977690399344863
-82.926,-82.913,-82.781,-82.854,-82.946,-0.01999999999999602,1.000241178882377,-82.926,-82.91799999999999,-82.791,-82.869,0.9993126401852254
-82.968,-82.91,-82.881,-82.795,-82.893,0.07500000000000284,0.9990960370263233,-82.968,-82.89125,-82.8435,-82.73875,0.9972368865104618
