RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,HpPlusM,Ph,Yvalue
-82.898,-82.876,-82.836,-82.832,-82.908,-1.1800917782905841e-14,0.9977000638225506,5.130976197780005e-12,5.1540838335807185e-12,5.198851052813772e-12,5.2006967849483845e-12,1.0135881720126756
-82.749,-82.911,-82.853,-82.915,-82.737,1.4692546467104e-14,1.0027669229965848,5.31006698966285e-12,5.1193134366868175e-12,5.191764156311788e-12,5.1219502002242254e-12,0.9645735562649523
-82.73,-82.775,-82.886,-82.845,-82.756,-3.1833888091634975e-14,0.9940311634657751,5.333348954876213e-12,5.2704135957928605e-12,5.129256269770775e-12,5.170101319001355e-12,0.9693911579279652
-82.864,-82.837,-82.878,-82.84,-82.851,1.550276640479662e-14,1.0029978451983328,5.171303179169625e-12,5.20742890294679e-12,5.1624110910347805e-12,5.211587040138749e-12,1.0077898857547922
-82.793,-82.894,-82.944,-82.837,-82.795,-2.4201689690669513e-15,0.9995395890030888,5.256540320069857e-12,5.135099136241281e-12,5.075706174397962e-12,5.20173808461879e-12,0.9895744668329038
-82.745,-82.752,-82.808,-82.802,-82.809,-7.77498558345383e-14,0.9853715068586202,5.3149599950664826e-12,5.2869627279891156e-12,5.199541262360627e-12,5.187345939362208e-12,0.9759896488736077
-82.889,-82.803,-82.78,-82.926,-82.883,7.10832005112198e-15,1.0013825058370995,5.1416202813543564e-12,5.2462276928323086e-12,5.2758527742537825e-12,5.103333222294392e-12,0.9925535031828762
-82.777,-82.81,-82.891,-82.841,-82.795,-2.182169616916924e-14,0.9958639240535866,5.275941847269959e-12,5.2305489418152025e-12,5.1283421747502734e-12,5.182396496015974e-12,0.9822694498988099
-82.802,-82.807,-82.858,-82.794,-82.879,-9.218539102908369e-14,0.9824263447582707,5.245658331238112e-12,5.216576171302111e-12,5.132359840485696e-12,5.186191052997409e-12,0.9886635242927331
-82.875,-82.83,-82.824,-82.821,-82.89,-1.778513489879656e-14,0.9965520801347683,5.158221650723061e-12,5.207500827326112e-12,5.210260090905095e-12,5.209420315613617e-12,1.009925642664731
-82.765,-82.789,-82.911,-82.808,-82.765,0.0,1.0,5.2905399720958135e-12,5.26138400287851e-12,5.115640300070042e-12,5.238416190277896e-12,0.9901477387766019
-82.789,-82.803,-82.831,-82.838,-82.805,-1.9347992793881566e-14,0.996322641954418,5.26138400287851e-12,5.239613614621057e-12,5.201073157636972e-12,5.1878441922776355e-12,0.9860227250927435
-82.853,-82.816,-82.885,-82.872,-82.849,4.777224989057547e-15,1.0009214583192938,5.1844178830782356e-12,5.229969859381668e-12,5.148746682631789e-12,5.1653689737085154e-12,0.996325738048259
-82.801,-82.681,-82.893,-82.773,-82.828,-3.251847363158101e-14,0.99380230568112,5.246866327776159e-12,5.385734480637002e-12,5.120627617411447e-12,5.25641455255355e-12,1.001819795699167
-82.883,-82.787,-82.787,-82.796,-82.822,7.282811908412253e-14,1.0141448743412582,5.1487286014054784e-12,5.2820145475163335e-12,5.300221577287364e-12,5.3075315738135716e-12,1.030843142978005
-82.855,-82.871,-82.781,-82.903,-82.762,1.1216489010202323e-13,1.0216449673558603,5.1820309200722626e-12,5.191015959501408e-12,5.327167207414967e-12,5.209196009888273e-12,1.005242170537962
-82.783,-82.859,-82.881,-82.797,-82.831,-5.791074293979873e-14,0.9890084450210627,5.268657896973712e-12,5.162782604771477e-12,5.122144853125174e-12,5.208268039199282e-12,0.9885379049170915
-82.934,-82.897,-82.805,-82.846,-82.835,1.173303284547106e-13,1.023057397486669,5.0886197595607725e-12,5.161490366854238e-12,5.300701174311983e-12,5.2807786617498515e-12,1.0377624800571983
-82.747,-82.756,-82.877,-82.893,-82.808,-7.409673875871564e-14,0.9860524125308524,5.312512929036612e-12,5.282990882094899e-12,5.118798379371206e-12,5.081314300158201e-12,0.9564803640072577
-82.783,-82.734,-82.776,-82.739,-82.861,-9.378127403892756e-14,0.9822001587742497,5.268657896973712e-12,5.304993701902273e-12,5.230266180628661e-12,5.251972002754396e-12,0.9968329896255173
-82.831,-82.856,-82.754,-82.836,-82.784,5.669772928513187e-14,1.0108809212209116,5.210747154033913e-12,5.1950122830412265e-12,5.3323059315879095e-12,5.247274808669074e-12,1.0070100608521915
-82.824,-82.781,-82.877,-82.877,-82.715,1.326488793583787e-13,1.0254157883552308,5.219152658354493e-12,5.30424698220355e-12,5.2221711884297535e-12,5.255333408269348e-12,1.0069323034375972
-82.834,-82.811,-82.775,-82.749,-82.823,1.3205610693195601e-14,1.0025360539605255,5.207148940339911e-12,5.2381002727639844e-12,5.284974873162367e-12,5.3199711976827475e-12,1.0216668005151148
-82.868,-82.796,-82.787,-82.813,-82.753,1.3863606313947085e-13,1.0268334316680863,5.166542425669507e-12,5.287569500285348e-12,5.3331255493150385e-12,5.336365758478881e-12,1.0328698225655948
-82.782,-82.803,-82.809,-82.788,-82.78,2.4274242609898015e-15,1.0004606230728392,5.269871189967232e-12,5.245057468884775e-12,5.238423851362439e-12,5.264416188998919e-12,0.9989648701511532
-82.807,-82.846,-82.742,-82.81,-82.835,-3.3672431043898526e-14,0.9935735005868431,5.2396225190593816e-12,5.184362807647844e-12,5.301796492204846e-12,5.2107500425745715e-12,0.9944895884427198
-82.762,-82.856,-82.839,-82.862,-82.743,2.3212378097141945e-14,1.0043844955739138,5.294195810174286e-12,5.186640945244229e-12,5.212763627272645e-12,5.1910944843034744e-12,0.9805255926362464
-82.677,-82.762,-82.833,-82.847,-82.784,-1.3138943667305606e-13,0.9756633693709555,5.398834319992101e-12,5.2613484510060216e-12,5.142653350405544e-12,5.093043293558763e-12,0.9433598054118866
-82.798,-82.84,-82.806,-82.87,-82.814,-1.930793895072966e-14,0.9963226419544181,5.250491986747626e-12,5.1951329805974694e-12,5.231175156164929e-12,5.1496827385076525e-12,0.9808000376927689
-82.791,-82.89,-82.833,-82.878,-82.787,4.845913920690364e-15,1.0009214583192938,5.258961603824612e-12,5.141647994304437e-12,5.2107710257024175e-12,5.1582941432729e-12,0.980857920605752
-82.783,-82.781,-82.816,-82.796,-82.828,-5.431004282913414e-14,0.9896918638691024,5.268657896973712e-12,5.257507251656672e-12,5.201620531719837e-12,5.212177952378629e-12,0.9892800129179911
-82.867,-82.821,-82.77,-82.792,-82.835,3.82178850158908e-14,1.0073954848112499,5.167732202999592e-12,5.232313638041687e-12,5.303561460259758e-12,5.286414236328868e-12,1.022965979789043
-82.772,-82.786,-82.863,-82.828,-82.733,4.7646582402795686e-14,1.0090205237643564,5.282019497699964e-12,5.276931339369841e-12,5.1963173440313255e-12,5.250082790946674e-12,0.9939536938916647
-82.823,-82.767,-82.785,-82.765,-82.772,6.166494666685713e-14,1.0118124058555857,5.220354551033107e-12,5.3035203859797776e-12,5.2970646222724106e-12,5.336788682095956e-12,1.0223038741764785
-82.817,-82.896,-82.789,-82.843,-82.784,3.987316164740592e-14,1.007627472901444,5.227571721671639e-12,5.143307934214744e-12,5.281320583702213e-12,5.226274071829599e-12,0.9997517681418582
-82.669,-82.751,-82.938,-82.799,-82.778,-1.3406134904418463e-13,0.9752141632264099,5.408788505661018e-12,5.274106839165408e-12,5.016904450722753e-12,5.148737143683697e-12,0.9519205896652932
-82.764,-82.771,-82.817,-82.823,-82.915,-1.808275138295833e-13,0.9658284631620564,5.2917583042034805e-12,5.23802898921259e-12,5.1371579647568475e-12,5.084733915660919e-12,0.9608779583946394
-82.897,-82.964,-82.785,-82.892,-82.797,1.1954331166357137e-13,1.0232929922807537,5.13215778474056e-12,5.0834757754475686e-12,5.326003804770768e-12,5.227727286071134e-12,1.0186216997487354
-82.758,-82.852,-82.861,-82.87,-82.769,-1.3404742937654148e-14,0.9974703613396179,5.299074190947541e-12,5.182260591123988e-12,5.168174251465957e-12,5.154110135517459e-12,0.9726435127710185
-82.792,-82.908,-82.752,-82.897,-82.879,-1.0427788235792101e-13,0.9801668268662815,5.2577508225669496e-12,5.0931058094076195e-12,5.254261250768789e-12,5.053949372972119e-12,0.9612379025799229
-82.786,-82.786,-82.822,-82.929,-82.865,-9.490711408259442e-14,0.9819740248654888,5.265019693769142e-12,5.241292915248493e-12,5.174103163448304e-12,5.023301287712495e-12,0.9540897432268474
-82.769,-82.7,-82.812,-82.813,-82.87,-1.2150575528918703e-13,0.977012229674155,5.285669448009887e-12,5.339941524880236e-12,5.172840774222986e-12,5.141259394657388e-12,0.9726789473362033
