RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,PhPlusM,Ph,Yvalue
-82.89,-82764,-82.65,-82849,-82855,4.15944042479983e-14,1.008091609364293,5.140436515824264e-12,5.30215690526548e-12,5.453300517048325e-12,5.220390911253292e-12,1.0155540089217903
-82792,-82746,-82643,-82737,-82681,1.3611327647794737e-13,1.0258881185266011,5.2577508225669496e-12,5.34776464030659e-12,5.509323174393424e-12,5.426844493488415e-12,1.0321608377094809
-82748,-82869,-82847,-82661,-82652,1.1871231210725615e-13,1.022350938503232,5.311289818550122e-12,5.195031000291053e-12,5.250941527117183e-12,5.507795278596702e-12,1.0369976910994894
-82815,-82744,-82731,-82855,-82846,-3.719874641274464e-14,0.992887401325039,5.229979661821563e-12,5.30688426413644e-12,5.313521674063434e-12,5.154131860262704e-12,0.9854974958865438
-82793,-82767,-82712,-82829,-82745,5.841967499662573e-14,1.0111137119549098,5.256540320069857e-12,5.302709068062219e-12,5.384709545899446e-12,5.2569621006472824e-12,1.0000802391975983
-82812,-82937,-82889,-82828,-82773,4.720975590965619e-14,1.0090205237643564,5.233593651867579e-12,5.0969083183284654e-12,5.165225159309184e-12,5.24975517107682e-12,1.0030880347776854
-82941,-82808,-82741,-82911,-82819,1.4474041021538034e-13,1.0284898261526465,5.080424479948439e-12,5.274601292831742e-12,5.39222771427834e-12,5.224195607731577e-12,1.0282990384662893
-82793,-82847,-82796,-82867,-82755,4.619560622229675e-14,1.0087882149492735,5.256540320069857e-12,5.20313427261913e-12,5.276008287611628e-12,5.202378907666315e-12,0.9896963764937273
-82835,-82.76,-82903,-82886,-82775,7.242197980028595e-14,1.01391138573668,5.205950088015483e-12,5.314739933866652e-12,5.1612833322118985e-12,5.199489698666807e-12,0.9987590374015402
-82815,-82776,-82727,-82.84,-82905,-1.0726695917617309e-13,0.979489985408698,5.229979661821563e-12,5.2503400778540805e-12,5.283400894980206e-12,5.119509745953022e-12,0.9788775630094773
-82803,-82859,-82736,-82718,-82832,-3.4903139533963593e-14,0.9933447481708291,5.244450612819528e-12,5.168534505622935e-12,5.308534178723634e-12,5.321928566097798e-12,1.014773321172838
-82956,-82784,-82877,-82804,-82851,1.2389836211420645e-13,1.0244717803103822,5.062907583460215e-12,5.298419473847597e-12,5.2177959298076665e-12,5.3361669440420266e-12,1.053972812277773
-82732,-82.81,-82739,-82.75,-82812,-9.729977049944465e-14,0.9817479430199822,5.330893422367024e-12,5.211679423232634e-12,5.2736580730338685e-12,5.235869614435296e-12,0.9821748813185734
-82714,-82941,-82792,-82714,-82795,-9.891382634064068e-14,0.9815219132257558,5.3530339774414306e-12,5.055696023363279e-12,5.208293909396629e-12,5.27884860768595e-12,0.9861414349193168
-82808,-82781,-82738,-82847,-82925,-1.392402145292003e-13,0.973419405890731,5.238416190277896e-12,5.236274708731655e-12,5.253913498818019e-12,5.087155210166655e-12,0.9711246730658839
-82755,-82769,-82731,-82859,-82798,-5.224393954452798e-14,0.9901477387766019,5.302735926292154e-12,5.272608463123755e-12,5.305999077497542e-12,5.1380773358480306e-12,0.9689483706650922
-82.8,-82903,-82842,-82769,-82821,-2.5315435710019453e-14,0.9951762431696434,5.248074602497734e-12,5.118743483384251e-12,5.1849081287286035e-12,5.2666828712273726e-12,1.003545732509363
-82863,-82849,-82734,-82777,-82825,4.545698956008763e-14,1.0087882149492695,5.172494052829927e-12,5.200559355457315e-12,5.351167515192049e-12,5.3100345894400245e-12,1.0265907578056754
-82766,-82.84,-82722,-82.82,-82645,1.4943939671687196e-13,1.0282530348810963,5.2893219204872086e-12,5.2373198145143694e-12,5.417902099231918e-12,5.336041437528852e-12,1.0088327989379289
-82826,-82.8,-82904,-82842,-82.67,1.907935263797872e-13,1.0365732567670032,5.216749703076028e-12,5.29577298409268e-12,5.219289149836689e-12,5.340660991368454e-12,1.0237525845296664
-82863,-82.71,-82773,-82.93,-82902,-4.624148312709643e-14,0.9910601186478316,5.172494052829927e-12,5.346406204351654e-12,5.257682666213687e-12,5.058627598226619e-12,0.9779861603628117
-82838,-82727,-82769,-82769,-82803,4.20954259464814e-14,1.0080916093642933,5.2023551868730465e-12,5.347558231054913e-12,5.306717160983128e-12,5.317241017469749e-12,1.022083426922981
-82.88,-82685,-82944,-82788,-82868,1.42559798519455e-14,1.0027669229965888,5.152286445817561e-12,5.392462448695862e-12,5.0840442488084676e-12,5.273287605692136e-12,1.0234849442372909
-82858,-82604,-82.82,-82793,-82.83,3.349457505057263e-14,1.006468066438327,5.178452536000238e-12,5.498723254014671e-12,5.240709177516485e-12,5.2816612513577865e-12,1.0199304164014342
-82817,-82744,-82872,-82744,-82869,-6.221879940740004e-14,0.9880979539411265,5.227571721671639e-12,5.300629250887777e-12,5.130676655263022e-12,5.269519851184076e-12,1.0080244005717864
-82.95,-82718,-82813,-82807,-82928,2.5747723334100924e-14,1.0050785394907376,5.0699070827470445e-12,5.354542851581797e-12,5.2452625727913285e-12,5.258933311559957e-12,1.0372839631432638
-82791,-82728,-82727,-82774,-82719,8.791301179147931e-14,1.016716800466378,5.258961603824612e-12,5.3577838714082025e-12,5.380990880464033e-12,5.345522356680934e-12,1.0164596662568082
-82.8,-82.91,-82.85,-82748,-82705,1.1606411190522903e-13,1.0221155606000705,5.248074602497734e-12,5.14583438337938e-12,5.246032445242224e-12,5.398337902479043e-12,1.0286320815465912
-82845,-82.74,-82723,-82855,-82.85,-5.976345780472384e-15,0.9988493699365036,5.193976735070082e-12,5.319588506222835e-12,5.338964056402881e-12,5.177548660736908e-12,0.9968370912749281
-82746,-82774,-82714,-82777,-82768,-2.684966267829038e-14,0.994947121750992,5.3137363211871035e-12,5.272875182167752e-12,5.339609146102285e-12,5.255804600261242e-12,0.9890977426382874
-82765,-82839,-82.95,-82755,-82856,-1.0970212137586995e-13,0.9792644754685764,5.2905399720958135e-12,5.173731907880108e-12,5.0150560220591095e-12,5.2204593352602516e-12,0.9867535946793348
-82891,-82805,-82813,-82822,-82857,4.0392033215469744e-14,1.0078595144150324,5.1392530228348584e-12,5.252134018388496e-12,5.2525847277320125e-12,5.251850745401203e-12,1.0219093557110435
-82818,-82847,-82785,-82836,-82813,6.020543754918372e-15,1.0011519555381703,5.22636816736936e-12,5.193090507002285e-12,5.269242420816442e-12,5.209266919521414e-12,0.9967278907072187
-82833,-82922,-82892,-82842,-82829,4.799275657740788e-15,1.0009214583192978,5.208348068742073e-12,5.103899397508832e-12,5.140469440152325e-12,5.201165303326919e-12,0.9986209129420015
-82793,-82792,-82859,-82952,-82898,-1.2556412228985145e-13,0.9761127824302158,5.256540320069857e-12,5.226359791994487e-12,5.1144782293615004e-12,4.973399750055441e-12,0.9461355658334124
-82756,-82784,-82882,-82789,-82687,8.490227883896044e-14,1.016014719899769,5.301515066784578e-12,5.288670453028785e-12,5.192365415898152e-12,5.3250607120077305e-12,1.0044413049716057
-82942,-82846,-82845,-82799,-82728,2.565508148101238e-13,1.0505095382546576,5.079254803650209e-12,5.2569186191113495e-12,5.322252142475143e-12,5.441696266574428e-12,1.0713572122161996
-82869,-82831,-82726,-82782,-82.85,2.2647467025370087e-14,1.0043844955739138,5.165352922264239e-12,5.2164090207902555e-12,5.349587147153066e-12,5.28685679023626e-12,1.0235228589024967
-82798,-82937,-82793,-82718,-82793,6.048333322231227e-15,1.0011519555381663,5.250491986747626e-12,5.086617962681609e-12,5.2595644867309725e-12,5.3526421707399445e-12,1.0194553547077394
-82879,-82.72,-82771,-82783,-82811,8.132592988165736e-14,1.0157808007969007,5.1534729402090286e-12,5.3659750764401284e-12,5.3238988326108146e-12,5.329652344384955e-12,1.0341865391009077
-82862,-82739,-82758,-82886,-82785,9.254694820836385e-14,1.0178880130154218,5.173685200730618e-12,5.345444695335682e-12,5.345347665051723e-12,5.2145834249728655e-12,1.0079050469163588
-82831,-82871,-82883,-82849,-82781,6.033760833004193e-14,1.0115794542599004,5.210747154033913e-12,5.178059139058413e-12,5.178897405570499e-12,5.234448314314824e-12,1.004548514748516
-82816,-82.86,-82785,-82877,-82926,-1.3077357087835318e-13,0.9749896377173887,5.228775553134404e-12,5.143374926786093e-12,5.2008453634998054e-12,5.0577665705917984e-12,0.9672946408189019
-82857,-82947,-82816,-82781,-82903,-5.4572713738572296e-14,0.9894640051300763,5.179645056050328e-12,5.059767281938328e-12,5.201489196265118e-12,5.230155227060026e-12,1.0097516664680908
-82859,-82909,-82763,-82788,-82931,-8.512422259490245e-14,0.9835580562269595,5.1772602905064266e-12,5.096715626375875e-12,5.250414805577288e-12,5.198752453857e-12,1.0041512618923147
-82874,-82838,-82.74,-82935,-82841,3.935325623953775e-14,1.0076274729014523,5.159409511903313e-12,5.212193500932931e-12,5.340759220787722e-12,5.1169631386265645e-12,0.9917730172069459
-82759,-82884,-82798,-82762,-82781,-2.676941212468978e-14,0.994947121750992,5.297854174488645e-12,5.140850846281459e-12,5.237107280685281e-12,5.274118751080768e-12,0.9955198043158355
-82778,-82787,-82894,-82759,-82763,1.824976025790606e-14,1.0034598491478395,5.2747271566168335e-12,5.268369957809779e-12,5.144829058612501e-12,5.311541494682075e-12,1.0069793824347975
-82806,-82751,-82839,-82942,-82922,-1.381295470458974e-13,0.9736435697988872,5.240829125640294e-12,5.273089789664979e-12,5.132092664701126e-12,4.975657643365786e-12,0.949402761296456
-82806,-82934,-82874,-82808,-82908,-1.2165384564319467e-13,0.9767872901926884,5.240829125640294e-12,5.058206298149973e-12,5.098582589081716e-12,5.147175806045501e-12,0.9821300566476012
-82951,-82854,-82854,-82862,-82904,5.515255875656959e-14,1.0108809212209113,5.068739827890226e-12,5.1970124038597666e-12,5.2108005435489096e-12,5.2150496197980456e-12,1.02886512168227
-82792,-82836,-82835,-82818,-82799,-8.467667100114285e-15,0.998389488702323,5.2577508225669496e-12,5.2026345949301965e-12,5.2017162544654255e-12,5.220017417044274e-12,0.9928232799925172
-82808,-82951,-83041,-82751,-82804,4.826982178475669e-15,1.0009214583192978,5.238416190277896e-12,5.069946573434845e-12,4.967193391149922e-12,5.311242413060311e-12,1.0139023361522084
-82935,-82869,-82807,-82859,-82899,4.234668641167207e-14,1.0083237577615527,5.087448196446911e-12,5.175939593867157e-12,5.260795862265218e-12,5.2090203053151804e-12,1.023896480941698
